ID,Grupo,N_nós,Taxa_escala_global,suscetiveis_mean,suscetiveis_median,suscetiveis_iqr,infeccaos_mean,infeccaos_median,infeccaos_iqr,recuperados_mean,recuperados_median,recuperados_iqr,Prev_Minimo_Valor,Prev_Tempo_Minimo,Prev_Maximo_Valor,Prev_Tempo_Maximo,Prev_Final_Valor,Taxa_escala_local,Categoria
s28_g4ae,G4,0.15,0.1,0.750156534809505,1,0,0.1161458,0.0188784,0.287618,0.1336977,0.129697,0.02949495,2.1010101010101,1801,46.7070707070707,15,2.1010101010101,0,rede_completa
s29_g4ae,G4,0.15,0.15,0.902837368689673,1,0,0.04519801,0.01554692,0.09772349,0.05196462,0.0,0.1224242,0.0,636,48.040404040404,13,0.0,0,rede_completa
s30_g4ae,G4,0.15,0.35,0.720240719241274,1,0,0.1325095,0.01610217,0.3425875,0.1472497,0.1422222,0.02424242,5.01010101010101,130,53.5353535353535,8,16.0,0,rede_completa
s31_g4ae,G4,0.15,0.5,0.864112978760393,1,0,0.06339576,0.02054414,0.1449195,0.07249126,0.002424242,0.1446465,0.0,853,57.1313131313131,7,0.0,0,rede_completa
s32_g4ae,G4,0.15,0.8,0.711890700452611,1,0,0.1364743,0.01776791,0.351749,0.151635,0.1462626,0.01737374,3.31313131313131,235,56.4040404040404,5,13.6565656565657,0,rede_completa
s33_g5ae,G5,0.3,0.01,0.972613643374333,1,0,0.01292862,0.002776235,0.02554137,0.01445774,0.0,0.0,0.0,169,35.6767676767677,21,0.0,0,rede_completa
s34_g5ae,G5,0.3,0.034,0.902853296989887,1,0,0.04477288,0.02720711,0.07912271,0.05237382,0.0,0.09494949,0.0,820,48.040404040404,14,0.0,0,rede_completa
s35_g5ae,G5,0.3,0.05,0.787625281128891,1,0,0.1006022,0.02720711,0.2295947,0.1117725,0.09979798,0.04565657,1.61616161616162,415,51.4343434343434,16,9.41414141414141,0,rede_completa
s36_g5ae,G5,0.3,0.1,0.746290220360182,1,0,0.119873,0.03109384,0.2842865,0.1338368,0.1240404,0.03474747,2.34343434343434,247,61.7777777777778,13,12.6060606060606,0,rede_completa
s37_g5ae,G5,0.3,0.15,0.732584927565493,1,0,0.1262609,0.02887285,0.3084398,0.1411541,0.1337374,0.02343434,1.29292929292929,1671,62.1414141414141,11,10.2626262626263,0,rede_completa
s38_g5ae,G5,0.3,0.35,0.712059405829532,1,0,0.1357425,0.02887285,0.341477,0.152198,0.1438384,0.01818182,4.0,993,66.8282828282828,7,14.9090909090909,0,rede_completa
s39_g5ae,G5,0.3,0.5,0.736190556312708,1,0,0.122794,0.0283176,0.3076069,0.1410155,0.1442424,0.02505051,0.0,1670,65.1313131313131,6,0.0,0,rede_completa
s40_g5ae,G5,0.3,0.8,0.697117762859018,1,0,0.1426233,0.02998334,0.3634092,0.1602589,0.1511111,0.01777778,4.80808080808081,687,73.0505050505051,5,5.8989898989899,0,rede_completa
s41_g6ae,G6,0.5,0.01,0.957745584663963,1,0,0.01956107,0.0188784,0.03331483,0.02269334,0.0,0.0,0.0,313,55.1111111111111,11,0.0,0,rede_completa
